id,Kidney_GSH,Kidney_GSSG,Kidney_Total_GSH,Kidney_GSH_GSSG_Ratio,Kidney_Redox_Potential_GSSG_2GSH,BUN
DO-1,17.232,0.293,17.819,58.746,-180.497,28
DO-2,14.566,0.178,14.922,81.846,-182.699,23
DO-3,17.596,0.192,17.98,91.689,-186.772,26
DO-4,17.856,0.203,18.263,87.918,-186.404,20
DO-5,18.927,0.127,19.181,149.191,-194.308,21
DO-6,22.435,0.214,22.864,104.744,-191.835,29
DO-7,23.106,0.257,23.621,89.757,-190.153,23
DO-8,20.874,0.344,21.562,60.65,-183.507,21
DO-9,24.21,0.239,24.688,101.32,-192.412,18
DO-10,18.267,0.118,18.504,154.263,-194.28,22
DO-11,27.892,0.256,28.403,109.023,-195.305,35
DO-12,NA,NA,NA,NA,NA,24
DO-13,25.18,0.33,25.84,76.326,-189.128,23
DO-14,18.134,0.343,18.821,52.833,-179.756,20
DO-15,19.597,0.138,19.874,141.623,-194.075,26
DO-16,19.13,0.187,19.505,102.26,-189.366,21
DO-17,19.771,0.246,20.264,80.27,-186.55,19
DO-18,15.562,0.416,16.393,37.418,-173.051,32
DO-19,16.249,0.159,16.567,102.083,-187.145,25
DO-20,30.422,0.312,31.045,97.651,-194.991,20
DO-21,13.703,0.148,13.999,92.41,-183.51,23
DO-22,23.858,0.137,24.133,173.825,-199.482,34
DO-23,20.741,0.117,20.975,177.9,-197.909,24
DO-24,17.061,0.159,17.379,107.116,-188.449,26
DO-25,23.496,0.575,24.646,40.878,-179.789,22
DO-27,13.118,0.152,13.423,86.157,-181.98,26
DO-28,15.122,0.186,15.493,81.491,-183.144,33
DO-29,17.249,0.235,17.719,73.508,-183.528,19
DO-30,18.438,0.303,19.045,60.755,-181.86,28
DO-31,22.394,0.483,23.36,46.34,-180.831,23
DO-32,27.742,0.471,28.683,58.956,-186.955,40
DO-33,20.97,0.385,21.74,54.465,-182.121,27
DO-34,NA,NA,NA,NA,NA,26
DO-35,25.193,0.636,26.465,39.605,-180.302,23
DO-36,23.283,0.508,24.299,45.834,-181.207,24
DO-38,47.712,0.681,49.074,70.068,-196.581,37
DO-39,34.708,1.478,37.664,23.484,-177.579,24
DO-41,31.808,0.379,32.566,83.945,-193.555,25
DO-42,29.673,0.37,30.414,80.091,-191.986,28
DO-44,37.463,0.927,39.317,40.433,-185.922,21
